"Title","HH & NPISH (S.14 + S.15): Disposable income, gross (B.6g): Uses/Resources: Current price: £m: NSA"
"CDID","QWND"
"Source dataset ID","BB"
"PreUnit","£"
"Unit","m"
"Release date","31-10-2024"
"Next release","To be announced"
"Important notes",
"1948","8235"
"1949","8664"
"1950","9188"
"1951","9937"
"1952","10688"
"1953","11467"
"1954","12078"
"1955","13107"
"1956","14100"
"1957","14840"
"1958","15566"
"1959","16565"
"1960","17883"
"1961","19209"
"1962","20188"
"1963","21370"
"1964","23159"
"1965","24912"
"1966","26529"
"1967","27725"
"1968","29676"
"1969","31795"
"1970","35144"
"1971","38815"
"1972","45084"
"1973","52432"
"1974","61570"
"1975","76602"
"1976","89189"
"1977","100772"
"1978","118869"
"1979","143321"
"1980","170405"
"1981","191355"
"1982","209792"
"1983","226975"
"1984","247782"
"1985","268993"
"1986","292036"
"1987","308812"
"1988","341897"
"1989","379761"
"1990","424493"
"1991","465428"
"1992","497176"
"1993","527496"
"1994","546346"
"1995","579297"
"1996","615721"
"1997","638970"
"1998","653785"
"1999","687177"
"2000","727610"
"2001","760114"
"2002","785298"
"2003","813613"
"2004","852799"
"2005","891024"
"2006","935160"
"2007","986363"
"2008","1021020"
"2009","1047182"
"2010","1067629"
"2011","1083671"
"2012","1128936"
"2013","1175806"
"2014","1216953"
"2015","1286210"
"2016","1311368"
"2017","1347074"
"2018","1402440"
"2019","1452963"
"2020","1454409"
"2021","1514669"
"2022","1609218"
"2023","1758940"
